gene,half_life_hr,decay_rate,p_val,geneSymbol
Kremen2,0.803262093037998,-0.147438694618175,0.843143791467321,Kremen2
Ttc9b,8.15893753669117,-2.46562687724356,0.022608614458025,Ttc9b
Ppp1r16a,1.34260913677798,-0.661127758367764,0.771882730541202,Ppp1r16a
Fut11,1.00790283853229,-0.374384695240041,0.0903865006001756,Fut11
BC068157,3.01550583435455,-1.47028050927714,0.733738167697809,BC068157
Rps6ka5,1.17810631035875,-0.5304212482236,0.409795014593928,Rps6ka5
Sgip1,0.784811235325171,-0.124200865911777,0.821782836381677,Sgip1
Slc25a42,1.59968661501683,-0.836320665028746,0.524290293243614,Slc25a42
Slc22a23,0.261624614511458,0.974331651074639,0.37660039299244,Slc22a23
Prss57,1.36103947841975,-0.674761650751498,0.57593883452652,Prss57
Tgfbrap1,1.60571386327459,-0.840081352906639,0.370953702768673,Tgfbrap1
3110021N24Rik,8.1515970991564,-2.46472679172285,0.0226187420514759,3110021N24Rik
Prrc1,1.6799234436217,-0.885261143685726,0.542720030827384,Prrc1
Larp1,1.6018617239074,-0.83767945083796,0.394507073151217,Larp1
Otud3,0.51401470411381,0.298990486129176,0.848564509063005,Otud3
Arhgap8,1.06939192310706,-0.433603111352382,0.430293193588482,Arhgap8
Exo5,1.16346167901363,-0.517912687842127,0.447110032591494,Exo5
Wasl,0.787326276494806,-0.127400386686838,0.726686014087189,Wasl
Pear1,1.61043568847787,-0.843017676930094,0.674678336022015,Pear1
3110056K07Rik,1.09475454951981,-0.457043103033817,0.260641770857672,3110056K07Rik
3110043O21Rik,1.227901220218,-0.57181930750929,0.409748821767229,3110043O21Rik
Sppl2b,1.27741284092887,-0.611349735071099,0.711651135606578,Sppl2b
3110052M02Rik,1.31398226365845,-0.639575342576159,0.63608610352093,3110052M02Rik
Zfp942,1.31959824083032,-0.643840247844792,0.586579579468989,Zfp942
Atat1,0.818906363020208,-0.166727388049669,0.284035295527825,Atat1
Rassf6,1.30058177333259,-0.629324602891007,0.72956563479968,Rassf6
Mrgbp,0.85280926056758,-0.207293553966666,0.855537891603661,Mrgbp
Ccdc18,2.14413350113435,-1.12924842917182,0.5736808801701,Ccdc18
Gpbp1,1.30089356455312,-0.629564306275844,0.442220564932031,Gpbp1
Ddit4l,0.985523728448168,-0.351930845475418,0.353833203726089,Ddit4l
1700040L02Rik,0.725320483176978,-0.0453712445421059,0.987204947850366,1700040L02Rik
Ccdc103,1.01976190408397,-0.386082093260782,0.729428191081338,Ccdc103
Calr3,1.07323435169452,-0.437189768299297,0.829807651703431,Calr3
1700034F02Rik,1.32495849062201,-0.647894051696678,0.634412219081133,1700034F02Rik
Pradc1,1.20831500619936,-0.555739752821882,0.690149688910936,Pradc1
Itpripl1,0.690660526227558,0.00359393432589482,0.975092195987887,Itpripl1
1700056E22Rik,4.98437866783136,-1.97282167587242,0.839583283082684,1700056E22Rik
Col20a1,1.22662406837558,-0.570778656623671,0.557703326208009,Col20a1
