Gene,half_life_hr,decay_rate,p_val,geneSymbol
Id3,5.720816115,-2.110624393,3.62E-07,Id3
Id4,4.035788845,-1.761714704,3.61E-06,Id4
Ide,3.653654701,-1.662240875,2.43E-06,Ide
Idh1,5.474701123,-2.066650605,4.04E-05,Idh1
Idh3g,5.163798374,-2.008185348,1.69E-05,Idh3g
Ido1,2.279003416,-1.19025117,5.15E-05,Ido1
Ids,3.615345407,-1.65170032,0.000329457,Ids
Idua,3.266603852,-1.550263788,2.17E-06,Idua
Ier2,2.760548666,-1.381942373,3.48E-11,Ier2
Ier3,1.827557275,-0.969493173,9.18E-07,Ier3
Ier5,2.68406421,-1.353845063,1.11E-09,Ier5
Irgm1,1.464402606,-0.747960303,1.38E-07,Irgm1
Cxcl10,1.55121148,-0.805549146,6.73E-05,Cxcl10
Ifi203,2.558206775,-1.305819455,3.66E-07,Ifi203
Ifi204,3.032898504,-1.476031685,6.88E-07,Ifi204
Ifi47,1.384800296,-0.692068859,3.07E-05,Ifi47
Ifit1,1.13383212,-0.492116073,0.000121522,Ifit1
Ifit2,1.881157578,-0.998400241,1.97E-06,Ifit2
Ifit3,1.71491864,-0.90587856,4.59E-08,Ifit3
Ifnab,7.222335668,-2.343691321,0.014759906,Ifnab
Ifnar1,2.05760136,-1.088053837,9.91E-06,Ifnar1
Ifnar2,2.397918763,-1.2411141,1.62E-07,Ifnar2
Ifnb1,0.611241498,0.125750227,0.589788017,Ifnb1
Ifngr1,1.821643063,-0.966251796,2.66E-05,Ifngr1
Ifngr2,3.182071802,-1.524045415,4.09E-07,Ifngr2
Ifrd1,3.079590001,-1.491309392,1.51E-08,Ifrd1
Ifrd2,3.79903437,-1.701259842,6.15E-07,Ifrd2
Cd79b,3.511148035,-1.62245598,5.12E-05,Cd79b
Igf1r,3.412421771,-1.593935157,2.76E-06,Igf1r
Igf2,10.03165334,-2.672258349,2.89E-05,Igf2
Igf2r,4.633223038,-1.899765667,9.58E-06,Igf2r
Igfals,2.634371387,-1.335157511,0.001528514,Igfals
Cyr61,1.342438015,-0.661000295,0.001788282,Cyr61
Igfbp2,6.92021271,-2.300959428,8.47E-06,Igfbp2
Igfbp3,5.532333477,-2.077122614,5.07E-07,Igfbp3
Igfbp4,11.59455857,-2.81704882,0.009874615,Igfbp4
Igfbp5,2.5953107,-1.32021916,0.00035182,Igfbp5
Igfbp6,10.74897915,-2.741323708,0.00188285,Igfbp6
Il18bp,4.559498915,-1.883725651,0.000120942,Il18bp
Igtp,1.524784459,-0.788365983,7.71E-06,Igtp
Ihh,7.228592187,-2.34455722,0.118592143,Ihh
Cd74,2.474541575,-1.272568077,5.07E-06,Cd74
Ikbkb,3.275663105,-1.553033244,7.68E-07,Ikbkb
Ikbkg,3.719164064,-1.68001185,2.52E-06,Ikbkg
Il10,1.144038922,-0.501077836,0.326933103,Il10
Il10ra,0.438474888,0.457939817,6.99E-06,Il10ra
Il10rb,2.908146796,-1.434028959,1.60E-06,Il10rb
Il11,4.385488206,-1.844813876,9.51E-05,Il11
Il11ra1,3.777508912,-1.695577695,6.36E-05,Il11ra1
Il12rb1,2.910827214,-1.434950227,2.84E-06,Il12rb1
Il12rb2,3.584565639,-1.643150227,1.25E-05,Il12rb2
Il13ra1,4.529129087,-1.877042587,7.33E-07,Il13ra1
Il15,2.448321451,-1.261915588,0.000909471,Il15
Il15ra,2.811641196,-1.400281289,0.000109926,Il15ra
Il16,1.247280023,-0.587478119,0.012430297,Il16
Il17ra,3.123884394,-1.505590146,3.74E-07,Il17ra
Il18,1.872370749,-0.993718329,2.10E-05,Il18
Il18rap,3.554800099,-1.634811751,0.000158178,Il18rap
Il1a,2.799311362,-1.395886365,3.81E-05,Il1a
Il1b,0.458898306,0.412413728,0.174915602,Il1b
Il1r1,3.187967783,-1.525896576,0.000136534,Il1r1
Il1r2,4.011637203,-1.755712359,6.92E-06,Il1r2
Irak1,4.391081815,-1.846088544,1.40E-06,Irak1
Il1rap,4.386326169,-1.845004934,6.10E-05,Il1rap
Il1rn,3.804669134,-1.702741953,5.72E-09,Il1rn
Il18r1,5.738295189,-2.113675081,0.000551398,Il18r1
Il2rb,3.061788641,-1.485512189,0.019979515,Il2rb
Il2rg,4.601866477,-1.892974898,1.87E-06,Il2rg
Il3ra,3.970386664,-1.745376407,2.25E-05,Il3ra
Il4ra,2.655665459,-1.343208188,2.50E-06,Il4ra
Il6,1.331134357,-0.652544399,0.06736224,Il6
Il6ra,3.995182055,-1.751602069,9.05E-06,Il6ra
Il6st,3.402529768,-1.591032125,1.87E-05,Il6st
Il7,4.288009934,-1.822335661,0.002424377,Il7
Il7r,2.142326048,-1.128405097,3.21E-06,Il7r
Ilf3,4.142221034,-1.787745046,3.52E-06,Ilf3
Ilk,3.946213065,-1.739269322,2.54E-06,Ilk
Lrig1,2.85834428,-1.416755455,1.20E-05,Lrig1
Impact,4.958718226,-1.967660206,0.000115865,Impact
Kpnb1,3.981809391,-1.748249257,2.17E-07,Kpnb1
Incenp,2.343284239,-1.218066387,4.79E-06,Incenp
Inha,4.722612845,-1.918875136,3.43E-05,Inha
Inhba,4.065132696,-1.768959307,1.19E-05,Inhba
Inhbb,2.416880377,-1.248990529,1.16E-06,Inhbb
Cep250,2.382323229,-1.234589079,0.000497498,Cep250
Inpp1,1.847283068,-0.980228868,0.001258589,Inpp1
Inpp5b,2.939099122,-1.444616034,4.31E-06,Inpp5b
Inpp5d,1.869668506,-0.992274066,6.25E-06,Inpp5d
Inppl1,2.62908292,-1.333148006,5.83E-07,Inppl1
Insr,2.733431708,-1.372070776,6.09E-05,Insr
Eif3e,4.317754411,-1.829248375,7.81E-07,Eif3e
Invs,2.701094373,-1.360169935,0.000509623,Invs
Ipp,2.742251758,-1.375292313,9.93E-05,Ipp
Irf1,1.743711197,-0.922528634,6.61E-05,Irf1
Irf2,2.046833429,-1.082806851,1.45E-05,Irf2
Irf4,0.523006031,0.281649363,0.02434805,Irf4
Irg1,1.372845298,-0.683398366,6.00E-07,Irg1
Irs1,2.388945834,-1.237365116,0.000229878,Irs1
Irs3,0.776698726,-0.113810177,0.706982363,Irs3
Irx1,2.74427467,-1.376029724,3.33E-07,Irx1
Irx2,2.317828463,-1.20714366,2.57E-08,Irx2
Irx3,2.032941964,-1.075996908,3.34E-08,Irx3
Irf9,2.293070738,-1.196404773,2.98E-05,Irf9
Isl1,1.487249877,-0.763441615,0.046477306,Isl1
Itch,2.8919405,-1.428440651,2.13E-05,Itch
Itga2,4.026955667,-1.759523594,0.000288654,Itga2
Itga2b,4.466658463,-1.863153502,0.000105377,Itga2b
Itga3,6.330325182,-2.211864527,0.000217103,Itga3
Itga4,1.441886789,-0.732465447,0.019337797,Itga4
Itga5,3.529109271,-1.627558429,2.01E-05,Itga5
Itga6,5.490242214,-2.069485294,6.12E-05,Itga6
Itga7,5.685325352,-2.104401276,1.02E-05,Itga7
