geneSymbol,half_life_hr,decay_rate,p_val
Tmem55b,0.634622276,0.088212378,0.686168597
Khnyn,1.669679322,-0.879144506,0.196247781
Cenpj,0.793884967,-0.135696214,0.513697088
Zmym5,2.985367858,-1.460235895,0.087793653
Ska3,1.100534376,-0.462308779,0.033398831
Mtmr6,3.156926655,-1.516111897,0.032652787
Spata13,1.105826508,-0.467105947,0.130636759
Arl11,1.230896811,-0.574255939,0.38564257
Fam167a,5.93910734,-2.148071763,0.089448058
Hmbox1,3.625438709,-1.654488225,0.146220863
Ccar2,16.17606242,-3.150045442,0.297196649
Tmpo,3.478390394,-1.613082577,0.052122731
Akap11,3.081068384,-1.491789335,0.060738172
Clec3b,3.861259846,-1.717506436,0.388879966
Tdrd3,3.951976816,-1.740728834,0.112142591
Tnf,0.201444845,1.235726738,0.037349648
Tnfaip1,2.641755065,-1.337956414,0.01901544
Tnfaip3,0.181431455,1.340364433,0.010883722
Tnfrsf10b,1.165276143,-0.519471012,0.117321391
Tnfrsf18,8.947706773,-2.557910194,0.220549995
Tnfrsf1b,1.079591222,-0.443095392,0.146233342
Cd40,1.763066193,-0.933567369,0.088831178
Cd27,2.026751775,-1.072947321,0.059035292
Tnfrsf8,0.934392887,-0.298654641,0.453196906
Tnfsf11,1.12491691,-0.484222096,0.108197682
Dedd,1.953790473,-1.036284238,0.033083122
Cd70,0.700561219,-0.010639397,0.932698896
Tnfsf8,3.634237267,-1.656912179,0.321608257
Tnfsf9,0.20240172,1.230987925,0.005350064
Tnks,0.96378102,-0.329621753,0.238051963
Tnni2,69.05194938,-4.601372031,0.862369895
Tnnt2,3.63065107,-1.655924911,0.564418579
Tns1,4.292896728,-1.823474654,0.074571288
Top2a,2.516615951,-1.289428043,0.022991032
Top2b,21.81426338,-3.44907696,0.387977749
Top3a,0.804716402,-0.149247561,0.368163083
Top3b,3.482144115,-1.61416115,0.066894411
Ppp1r13b,1.109196121,-0.470148458,0.042235482
Tmem165,2.333184776,-1.213747112,0.033264061
Tpbg,0.239207944,1.063909126,0.365923155
Tpi1,6.37883763,-2.219498812,0.257022009
Tpp2,6.565026461,-2.248269459,0.072165516
Tpst1,4.205214391,-1.802838198,0.031932746
Tpst2,1.388316328,-0.694604659,0.019291904
Nr2c1,2.444057403,-1.260172449,0.045394007
Nr2c2,1.018041256,-0.384393364,0.290940793
Traf1,1.818906026,-0.964748156,0.028646555
Traf2,1.151800979,-0.507839706,0.064760601
Traf3,2.189143092,-1.150023106,0.101468786
Traf4,1.17355089,-0.526547022,0.043251536
Traf5,0.811991303,-0.158247271,0.111393559
Traf6,1.14005285,-0.497587542,0.044481611
Tnfsf10,1.117112002,-0.477259706,0.342938994
Traip,2.800193609,-1.396201482,0.025700761
Plscr1,9.961489676,-2.665239547,0.166649498
Trex1,0.923435858,-0.286858984,0.00935428
Tfrc,17.40078685,-3.223028347,0.360617133
Trip6,152.2361076,-5.391945576,0.883493905
Tob1,0.781593432,-0.12009234,0.139756483
Trp53,13.52349653,-2.970941577,0.177096782
Trp73,3.29254931,-1.558175052,0.226004844
Ctr9,3.327052524,-1.568599705,0.038692377
Tsg101,7.458781586,-2.375904995,0.076267711
Rsph1,2.117861214,-1.116919639,0.340335872
Tspyl1,1.233935897,-0.576721897,0.025590719
Tssk1,2.965810455,-1.453663256,0.615576901
Tst,28.42562459,-3.713803933,0.773570795
Ttc3,9.342913119,-2.601131021,0.220175397
Ttf1,2.602938829,-1.323154046,0.082247675
Tgoln1,1.491788164,-0.766488431,0.049507521
Ttk,1.766212574,-0.935350386,0.02328351
Tub,0.20988542,1.194680596,0.176888823
Tuba1a,6.889251897,-2.296475422,0.209536485
Tuba1c,93.50114461,-4.904486599,0.760544934
Tubb2a,8.781614323,-2.539173175,0.253798852
Tubb3,0.507175276,0.312385703,0.244739044
Tubb4a,4.70893855,-1.915975442,0.298755296
Tubb5,9.763018935,-2.64511459,0.081874846
Tuft1,1.759477251,-0.931529669,0.055465845
Tulp3,7.116636331,-2.328948109,0.18353784
Twist1,0.162965826,1.447701834,0.488838061
Tnfrsf4,10.76904181,-2.74318844,0.205044239
Cmpk2,1.223415261,-0.568159263,0.197771644
Tyro3,11.40511208,-2.800574604,0.151080005
Tyrobp,3.604190943,-1.64861024,0.260295399
Zrsr1,0.535354004,0.25831414,0.601903403
Zrsr2,1.874097312,-0.994640031,0.061726564
Uba52,4.250543337,-1.813559739,0.619913799
Ubb,2.432903499,-1.25559832,0.127187874
Ubc,0.587079799,0.166081604,0.050689401
Ube2i,5.79239106,-2.123058091,0.112942032
Uba3,4.130999512,-1.785032311,0.0309368
Ube2b,55.96161217,-4.391178879,0.69808783
Ube2g2,18.00715705,-3.257282213,0.412584267
Ube2h,1.956320987,-1.037578582,0.051383815
Ube3a,1.467957194,-0.750384691,0.032266788
Usp12,4.178357755,-1.796431208,0.063132967
Ubp1,4.043916637,-1.763726608,0.087078156
Ubr1,4.652976294,-1.904019999,0.119117372
Usp10,1.781630871,-0.944042085,0.024296268
Ufd1l,14.6203712,-3.048928764,0.2750658
Slc35a2,11.122768,-2.775507099,0.272411712
Ugcg,1.232684682,-0.57570738,0.026451255
Ulk1,2.433885604,-1.256001915,0.033366895
Uck1,14.42452825,-3.035443029,0.253134863
Umps,4.696448851,-1.91331958,0.091899085
Ung,9.967775925,-2.665870403,0.196997998
Usp4,13.4872982,-2.968261289,0.240408425
Nr1h3,0.561325667,0.210941111,0.432469196
Nr1h2,4.044003878,-1.763748181,0.090711844
Usf1,1.477880451,-0.757121854,0.069409899
Usp9x,3.43467024,-1.600433842,0.04673981
Utf1,6.055395585,-2.167462627,0.352463382
Utrn,0.656637363,0.054110452,0.907806867
Kdm6a,0.718898201,-0.036477405,0.530558276
Uty,1.234163954,-0.576906701,0.116003267
Cdh23,4.010378602,-1.755398572,0.09439624
Vamp1,10.24268648,-2.693076858,0.459608519
Vamp2,2.116782982,-1.116410395,0.07585193
Vamp3,28.23360468,-3.707025844,0.482589032
Vav1,6.7064306,-2.269579778,0.093820827
Vav2,32.79513752,-3.856793179,0.637031654
