gene,half_life_hr,decay_rate,p_val
Ighmbp2,1.05153452919231,-0.416763474236709,0.00883464076798188
Kdm5c,2.21480127462058,-1.16167560204961,7.714179248864e-05
Kdm5d,5.63715753730723,-2.0958928763027,8.97949140261605e-06
Smn1,1.92261250494447,-1.02019786139425,9.35532117144153e-05
Smpd1,4.18773810418317,-1.7986736768168,9.10278184991783e-06
Smpd2,2.50875247976897,-1.28629853015761,7.18789613359508e-05
Ncor2,2.44760270097931,-1.26162197670884,0.000135518678591981
Sms,9.57534440148497,-2.62570442382501,0.000150787795509701
Sstr4,6.04649060096384,-2.16599095836468,0.0723603264147383
Sumo3,4.95137049382004,-1.96617732627994,3.91899545650175e-06
Snapin,5.61225609342097,-2.09146571496336,3.70749451948521e-06
Sncg,30.179892280708,-3.7736888046873,0.0578135197865142
Snap23,4.28011536933959,-1.82049288526525,5.38069338488981e-06
Snrk,1.30773430620124,-0.634809023167451,0.000925170011581098
Eftud2,4.99548191302976,-1.97504680711341,8.59568146222904e-07
Snrpc,3.66360106514623,-1.66495948186591,1.83895714489303e-05
Snrnp70,42.0745320748179,-4.10595553938024,0.030065636323861
Snrpb,4.47601144697062,-1.86524526843885,3.66253203644793e-06
Snrpb2,3.51619596075643,-1.62389263285505,1.90832139698077e-07
Snrpd1,1.93139998051991,-1.02475803904635,0.00169143676706754
Snrpe,4.05832431503619,-1.76728307871207,5.93646460382846e-07
Snta1,2.89587803757811,-1.42980128012235,0.00474205700931537
Sntb1,4.50422618294211,-1.87152902839575,0.00806308180993894
Sntb2,4.38294579951805,-1.84423397587253,4.2447329828273e-05
Soat1,3.91893089038604,-1.73233180514151,3.38497582588295e-05
Sod1,6.30845599790573,-2.20840387589437,2.07942875880765e-06
Sod2,4.27316563105322,-1.81886783873271,1.1394813891074e-06
Son,5.20299553116538,-2.01574744399371,5.2096075916988e-07
Sort1,6.26445518814129,-2.20140454395782,0.000874451860720871
Sos1,1.53680985450923,-0.796221665389658,0.00077368033713029
Sos2,2.48678053226837,-1.27750183553732,2.80857559327461e-06
Sox12,3.25734867189382,-1.54742649422975,2.41435909863584e-05
Sox13,2.09702417846329,-1.10703220246039,6.44966475068793e-05
Sox18,2.63392591738497,-1.33498839798899,0.144650333964338
Sox5,1.07265079066827,-0.43664587987851,0.00817747525513123
Sox7,0.347071870088662,0.691710481488541,0.0302851030998208
Sp1,1.82771757454397,-0.969580881974891,0.000141773632984221
Sp100,3.66682425596086,-1.66583888268678,3.30002178014399e-05
Spa17,9.40273641808492,-2.60751367580073,3.17351292841344e-06
Sp3,1.52614509328299,-0.789257929712368,0.000118901521139081
Sp4,2.99748163675785,-1.46428540229656,8.46585549460828e-06
Serpini1,8.89643890816706,-2.55216399457146,0.00122775471615871
Serpina3g,3.00981648761154,-1.46839202991293,2.19898629059217e-05
Serpina3n,2.96242566853537,-1.45252133593839,0.000398111927171554
Bptf,3.36643880695376,-1.58036837236745,3.1914861524708e-06
Cetn4,11.6166803052129,-2.81895494316929,0.000111498555819618
Rbms3,4.94502879648728,-1.96489570899374,0.00279455662196909
Serpinb6a,4.73943044712262,-1.92242989023411,4.10985088266375e-07
Arhgef17,3.21779888398902,-1.53521046999218,2.8925456933348e-05
Larp4,1.22596483502811,-0.570241074999263,0.0446312489650532
Serpinb9,3.34649663249157,-1.57442693786199,0.000175234497817952
Fchsd2,2.16155898467119,-1.13734263410249,0.000660045220947633
Spin1,2.10113661779901,-1.10899136546091,2.08481263949001e-06
Hectd1,1.80470787532156,-0.956911657341576,0.000246108172134095
Spink4,16.5930921919974,-3.17549939632459,0.00347595029031205
Spint1,2.52951224354756,-1.29453941562325,1.16133516149849e-05
Spint2,13.9150195373795,-2.99948171961024,0.0141295753017478
Sec23ip,1.85112521566056,-0.982306599459618,8.44225319708232e-06
Spn,2.16641819614658,-1.13958812353746,4.80810616654761e-06
Fam120c,4.73868138850365,-1.92227182950777,6.25553192528749e-05
Sptan1,3.96759269403623,-1.74467245706334,2.48991524077133e-05
Sptb,7.65540174745932,-2.40192443002018,0.0057121106426264
Sptbn1,3.50757426807062,-1.62143762742771,7.12318780467223e-05
Wdr11,3.43222090670157,-1.59972046689047,7.22962315769997e-06
Sptbn2,6.9798964299026,-2.30954699912302,0.00154778124263129
Strbp,5.35194355784476,-2.04397269735885,2.28627649366153e-05
Spop,8.61942498989008,-2.52053129652302,1.30995477608863e-05
Spr,3.14473228876166,-1.51224168430063,2.54935721149522e-05
Dtx4,1.54956002868838,-0.804483958759973,0.000207347189818122
Camkk2,4.60392706715207,-1.89342257012383,1.16298821376686e-05
Tbc1d16,4.61708455880461,-1.896276378603,0.000348648789021857
Thsd4,2.86291296614261,-1.41835254670452,0.000133173120175781
Ccdc40,4.35447057913938,-1.83771595728267,3.24269029748918e-05
Wdr37,1.97882204033388,-1.04901465912325,6.13663577356912e-05
Skor1,1.12603431300136,-0.485214923193084,0.0888972225272153
Sephs2,2.45450812525885,-1.2644393054441,0.00217484400302958
Gtpbp10,2.14596866882453,-1.13010396488142,2.12214424635474e-06
Pde2a,2.94098018547307,-1.44525584278743,2.88334768847481e-05
Sptlc2,2.478671215114,-1.27423553680899,6.22843206197599e-05
Ubald1,1.56485556232295,-0.814306447869172,0.00101062956271108
Rnf43,0.909403409828675,-0.271546432520108,0.0972522543273641
Sqle,1.67247929511127,-0.880820053920664,2.71950296386709e-05
Bzrap1,9.74195529384229,-2.6429547669432,0.000358346855163572
Scarb1,3.1859556594476,-1.52526521466181,1.6191373790894e-08
C2cd2,1.69107783561853,-0.891879018781502,5.69754732485336e-05
Csrnp2,0.575026262601992,0.186826644555731,0.398112912599906
Src,2.08644227315996,-1.10197327441876,2.53675082569127e-05
Gramd1c,3.17883514859216,-1.52302774479335,0.000158096545296772
Gm608,4.79287094166573,-1.93364251397597,1.34539133240068e-05
Smagp,7.00846931138137,-2.31363223992176,0.000225425994353709
4930539E08Rik,0.954226086935727,-0.319658273372727,0.444146274817411
Galnt6,3.93086591609389,-1.73537265707661,1.36780607362292e-05
Srebf1,2.71129478618949,-1.36393922225406,4.78602780622778e-07
Srebf2,4.22626748956311,-1.80783213393027,1.47364725186523e-06
Mchr1,1.09180052572272,-0.454341112466323,0.147500476396398
Fam228b,4.34137999093619,-1.83470518841394,0.00268619422743365
Urb1,1.5815995619689,-0.824949636501481,0.00255513808066542
