gene,half_life_hr,decay_rate,p_val
Gpr15,1.70532712268834,-0.90026987372849,0.0124879652517092
Acn9,2.09221377566765,-1.10473564878521,0.000835064226699504
Osbpl7,1.73330489348108,-0.916542849759263,0.00888193871327968
Spata24,7.15247454443904,-2.33397130754354,0.0250808021693276
Naif1,1.2280483251393,-0.571939102251613,0.0677267056559038
Lrrfip2,3.81036349609058,-1.70423751096748,0.0244040963472259
Ccdc57,2.69263764670664,-1.35703417159139,0.0105814505466695
Crnde,3.38803849164871,-1.58676405847834,0.00573835237844987
Rnf148,3.23468273213508,-1.54044377019644,0.0328932864331398
4933440J02Rik,3.41814827172241,-1.59561188400722,0.136693318406209
Rcbtb1,4.28903737397305,-1.82257523999149,0.0218569588988489
Rbks,7.56450349942589,-2.38997963439597,0.107943703589571
Tprg,8.0809887495309,-2.45602715561952,0.273551563403359
Ano9,1.10166660168839,-0.46333704623541,0.375854534618434
Aifm2,6.48171780692367,-2.23549848947579,0.0946196471942429
Pdss2,3.16688645287721,-1.5192618342833,0.00327751291305853
Arid5b,0.723022245978659,-0.0421976322734,0.8317364061577
Foxn3,1.72055596899613,-0.909160396965393,0.0147392346531384
Pex1,3.42181028186437,-1.59668265379717,0.011078482751579
Chd6,2.03506638353536,-1.07704135984607,0.00286144109091371
5430427O19Rik,0.932831083541896,-0.296981779477071,0.312795261185665
5430425K12Rik,1.29743239613846,-0.626900152113334,0.339002928156827
Arhgap21,2.04422180813651,-1.08153010373645,0.00391061187984268
5530601H04Rik,2.92181567388295,-1.43871814974483,0.0061185525283922
Wrb,2.95971534113817,-1.45160601575874,0.0078852677602219
Tmem80,9.06915497663936,-2.57139201351498,0.308039600673744
Mettl13,2.15910500014425,-1.13620670462525,0.00561087807224348
Ankrd40,4.62990314877004,-1.8990488702688,0.033740879332264
Usp19,3.99508685336089,-1.75157824007945,0.00437968610710006
8430423G03Rik,6.22642477688254,-2.19531521656393,0.0495932476113193
Ppp6r2,4.63160825747517,-1.89941708419191,0.016002622156407
Bbs7,6.64485189306294,-2.26035532402037,0.100075699869485
Zfp935,1.50910616279308,-0.77803045096964,0.0046631214880725
Sfpq,4.04710990231671,-1.76451594259708,0.00729650952606017
9030624J02Rik,7.28213961753594,-2.35193764311677,0.136169244677331
Cyp2u1,2.49927161411022,-1.28251225564798,0.0114620439093447
Pds5a,3.25263638232765,-1.54597878264518,0.00992754869564074
8430429K09Rik,3.97957864685386,-1.74768886664898,0.0926228421060502
Fbxo9,2.79472446613974,-1.39424644134173,0.0174948162947603
